,code,name
0,room_0,침실
1,room_1,키즈룸
2,room_2,옷장
3,room_3,다이닝
4,room_4,거실
5,room_5,학생방
6,room_6,오피스
7,room_7,데코
8,fur_0000,매트릭스
9,fur_0001,침대
10,fur_0002,"침대, 화장대, 서랍장"
11,fur_0003,"화장대, 서랍장"
12,fur_0000,"수납장,책상"
13,fur_0001,"수납장,책상, 옷장, 서랍장"
14,fur_0002,"수납장,책상, 책상,의자"
15,fur_0003,"수납장,책상, 침대"
16,fur_0004,"옷장, 서랍장"
17,fur_0005,"책상,의자"
18,fur_0006,침대
19,fur_0000,드레스룸
20,fur_0001,붙박이장
21,fur_0002,"수납,서랍장"
22,fur_0003,옷장
23,fur_0004,"옷장, 드레스룸"
24,fur_0005,"옷장, 붙박이장"
25,fur_0006,"옷장, 수납,서랍장"
26,fur_0000,식탁
27,fur_0001,"식탁, 식탁의자"
28,fur_0002,식탁의자
29,fur_0003,주방수납장
30,fur_0000,소파
31,fur_0001,테이블
32,fur_0000,"옷장,서랍장"
33,fur_0001,의자
34,fur_0002,책상
35,fur_0003,책상 수납장
36,fur_0004,"책상 수납장, 옷장,서랍장"
37,fur_0005,"책상, 옷장,서랍장"
38,fur_0006,"책상, 의자"
39,fur_0007,"책상, 책상 수납장"
40,fur_0008,"책상, 침대"
41,fur_0009,침대
42,fur_0000,의자
43,fur_0001,책상
44,fur_0002,책상 수납장
45,fur_0003,"책상, 책상 수납장"
46,fur_0000,가전
47,fur_0001,기타주방용품
48,fur_0002,"기타주방용품, 인테리어소품"
49,fur_0003,"기타주방용품, 한샘 AS부품"
50,fur_0004,"기타주방용품, 홈패드릭"
51,fur_0005,생활용품
52,fur_0006,"생활용품, 기타주방용품"
53,fur_0007,"생활용품, 기타주방용품, 인테리어소품"
54,fur_0008,"생활용품, 수납정리"
55,fur_0009,"생활용품, 수납정리, 가전, 한샘 AS부품"
56,fur_0010,"생활용품, 수납정리, 주방수납"
57,fur_0011,"생활용품, 수납정리, 주방수납, 기타주방용품"
58,fur_0012,"생활용품, 주방수납"
59,fur_0013,"생활용품, 주방수납, 기타주방용품"
60,fur_0014,"생활용품, 주방수납, 기타주방용품, 인테리어소품, 한샘 AS부품"
61,fur_0015,"생활용품, 주방수납, 기타주방용품, 한샘 AS부품"
62,fur_0016,"생활용품, 주방수납, 기타주방용품, 홈패드릭"
63,fur_0017,"생활용품, 주방수납, 쿸웨어, 기타주방용품"
64,fur_0018,"생활용품, 쿸웨어, 기타주방용품"
65,fur_0019,"생활용품, 한샘 AS부품"
66,fur_0020,"생활용품, 홈패드릭"
67,fur_0021,"생활용품, 홈패드릭, 가전"
68,fur_0022,수납정리
69,fur_0023,"수납정리, 주방수납"
70,fur_0024,"수납정리, 한샘 AS부품"
71,fur_0025,"수납정리, 홈패드릭"
72,fur_0026,"수납정리, 홈패드릭, 인테리어소품"
73,fur_0027,인테리어소품
74,fur_0028,조명
75,fur_0029,주방수납
76,fur_0030,"주방수납, 가전"
77,fur_0031,"주방수납, 기타주방용품"
78,fur_0032,"주방수납, 기타주방용품, 한샘 AS부품"
79,fur_0033,"주방수납, 인테리어소품, 한샘 AS부품"
80,fur_0034,"주방수납, 쿸웨어"
81,fur_0035,"주방수납, 쿸웨어, 기타주방용품"
82,fur_0036,"주방수납, 쿸웨어, 기타주방용품, 가전"
83,fur_0037,"주방수납, 한샘 AS부품"
84,fur_0038,침구
85,fur_0039,"침구, 홈패드릭"
86,fur_0040,커튼
87,fur_0041,"커튼, 한샘 AS부품"
88,fur_0042,쿸웨어
89,fur_0043,"쿸웨어, 가전"
90,fur_0044,"쿸웨어, 기타주방용품"
91,fur_0045,한샘 AS부품
92,fur_0046,홈패드릭
