code,name
spa_0001,거실
spa_0002,다이닝룸
spa_0003,드레스룸
spa_0004,발코니
spa_0005,서재/멀티룸
spa_0006,아이방
spa_0007,욕실
spa_0008,전체
spa_0009,침실
spa_0010,키친
spa_0011,현관
spa_9999,기타
cos_0001,1억원 이상
cos_0002,1천만원 미만
cos_0003,1천만원대
cos_0004,2천만원대
cos_0005,3천만원대
cos_0006,4천만원대
cos_0007,5천만원대
cos_0008,6천만원대
cos_0009,7천만원 이상
sty_0001,내추럴
sty_0002,모던
sty_0003,빈티지&앤틱
sty_0004,심플&미니멀
sty_0005,클래식
sty_0006,한국&동양적
sty_9999,기타
room_0,침실
room_1,키즈룸
room_2,옷장
room_3,다이닝
room_4,거실
room_5,학생방
room_6,오피스
room_7,데코
fur_0000,매트릭스
fur_0001,침대
fur_0002,"침대, 화장대, 서랍장"
fur_0003,"화장대, 서랍장"
fur_0000,"수납장,책상"
fur_0001,"수납장,책상, 옷장, 서랍장"
fur_0002,"수납장,책상, 책상,의자"
fur_0003,"수납장,책상, 침대"
fur_0004,"옷장, 서랍장"
fur_0005,"책상,의자"
fur_0006,침대
fur_0000,드레스룸
fur_0001,붙박이장
fur_0002,"수납,서랍장"
fur_0003,옷장
fur_0004,"옷장, 드레스룸"
fur_0005,"옷장, 붙박이장"
fur_0006,"옷장, 수납,서랍장"
fur_0000,식탁
fur_0001,"식탁, 식탁의자"
fur_0002,식탁의자
fur_0003,주방수납장
fur_0000,소파
fur_0001,테이블
fur_0000,"옷장,서랍장"
fur_0001,의자
fur_0002,책상
fur_0003,책상 수납장
fur_0004,"책상 수납장, 옷장,서랍장"
fur_0005,"책상, 옷장,서랍장"
fur_0006,"책상, 의자"
fur_0007,"책상, 책상 수납장"
fur_0008,"책상, 침대"
fur_0009,침대
fur_0000,의자
fur_0001,책상
fur_0002,책상 수납장
fur_0003,"책상, 책상 수납장"
fur_0000,가전
fur_0001,기타주방용품
fur_0002,"기타주방용품, 인테리어소품"
fur_0003,"기타주방용품, 한샘 AS부품"
fur_0004,"기타주방용품, 홈패드릭"
fur_0005,생활용품
fur_0006,"생활용품, 기타주방용품"
fur_0007,"생활용품, 기타주방용품, 인테리어소품"
fur_0008,"생활용품, 수납정리"
fur_0009,"생활용품, 수납정리, 가전, 한샘 AS부품"
fur_0010,"생활용품, 수납정리, 주방수납"
fur_0011,"생활용품, 수납정리, 주방수납, 기타주방용품"
fur_0012,"생활용품, 주방수납"
fur_0013,"생활용품, 주방수납, 기타주방용품"
fur_0014,"생활용품, 주방수납, 기타주방용품, 인테리어소품, 한샘 AS부품"
fur_0015,"생활용품, 주방수납, 기타주방용품, 한샘 AS부품"
fur_0016,"생활용품, 주방수납, 기타주방용품, 홈패드릭"
fur_0017,"생활용품, 주방수납, 쿸웨어, 기타주방용품"
fur_0018,"생활용품, 쿸웨어, 기타주방용품"
fur_0019,"생활용품, 한샘 AS부품"
fur_0020,"생활용품, 홈패드릭"
fur_0021,"생활용품, 홈패드릭, 가전"
fur_0022,수납정리
fur_0023,"수납정리, 주방수납"
fur_0024,"수납정리, 한샘 AS부품"
fur_0025,"수납정리, 홈패드릭"
fur_0026,"수납정리, 홈패드릭, 인테리어소품"
fur_0027,인테리어소품
fur_0028,조명
fur_0029,주방수납
fur_0030,"주방수납, 가전"
fur_0031,"주방수납, 기타주방용품"
fur_0032,"주방수납, 기타주방용품, 한샘 AS부품"
fur_0033,"주방수납, 인테리어소품, 한샘 AS부품"
fur_0034,"주방수납, 쿸웨어"
fur_0035,"주방수납, 쿸웨어, 기타주방용품"
fur_0036,"주방수납, 쿸웨어, 기타주방용품, 가전"
fur_0037,"주방수납, 한샘 AS부품"
fur_0038,침구
fur_0039,"침구, 홈패드릭"
fur_0040,커튼
fur_0041,"커튼, 한샘 AS부품"
fur_0042,쿸웨어
fur_0043,"쿸웨어, 가전"
fur_0044,"쿸웨어, 기타주방용품"
fur_0045,한샘 AS부품
fur_0046,홈패드릭
