,code,name
0,spa_0001,거실
1,spa_0002,다이닝룸
2,spa_0003,드레스룸
3,spa_0004,발코니
4,spa_0005,서재/멀티룸
5,spa_0006,아이방
6,spa_0007,욕실
7,spa_0008,전체
8,spa_0009,침실
9,spa_0010,키친
10,spa_0011,현관
11,spa_9999,기타
12,cos_0001,1억원 이상
13,cos_0002,1천만원 미만
14,cos_0003,1천만원대
15,cos_0004,2천만원대
16,cos_0005,3천만원대
17,cos_0006,4천만원대
18,cos_0007,5천만원대
19,cos_0008,6천만원대
20,cos_0009,7천만원 이상
21,sty_0001,내추럴
22,sty_0002,모던
23,sty_0003,빈티지&앤틱
24,sty_0004,심플&미니멀
25,sty_0005,클래식
26,sty_0006,한국&동양적
27,sty_9999,기타
28,room_0,침실
29,room_1,키즈룸
30,room_2,옷장
31,room_3,다이닝
32,room_4,거실
33,room_5,학생방
34,room_6,오피스
35,room_7,데코
36,fur_0000,매트릭스
37,fur_0001,침대
38,fur_0002,"침대, 화장대, 서랍장"
39,fur_0003,"화장대, 서랍장"
40,fur_0000,"수납장,책상"
41,fur_0001,"수납장,책상, 옷장, 서랍장"
42,fur_0002,"수납장,책상, 책상,의자"
43,fur_0003,"수납장,책상, 침대"
44,fur_0004,"옷장, 서랍장"
45,fur_0005,"책상,의자"
46,fur_0006,침대
47,fur_0000,드레스룸
48,fur_0001,붙박이장
49,fur_0002,"수납,서랍장"
50,fur_0003,옷장
51,fur_0004,"옷장, 드레스룸"
52,fur_0005,"옷장, 붙박이장"
53,fur_0006,"옷장, 수납,서랍장"
54,fur_0000,식탁
55,fur_0001,"식탁, 식탁의자"
56,fur_0002,식탁의자
57,fur_0003,주방수납장
58,fur_0000,소파
59,fur_0001,테이블
60,fur_0000,"옷장,서랍장"
61,fur_0001,의자
62,fur_0002,책상
63,fur_0003,책상 수납장
64,fur_0004,"책상 수납장, 옷장,서랍장"
65,fur_0005,"책상, 옷장,서랍장"
66,fur_0006,"책상, 의자"
67,fur_0007,"책상, 책상 수납장"
68,fur_0008,"책상, 침대"
69,fur_0009,침대
70,fur_0000,의자
71,fur_0001,책상
72,fur_0002,책상 수납장
73,fur_0003,"책상, 책상 수납장"
74,fur_0000,가전
75,fur_0001,기타주방용품
76,fur_0002,"기타주방용품, 인테리어소품"
77,fur_0003,"기타주방용품, 한샘 AS부품"
78,fur_0004,"기타주방용품, 홈패드릭"
79,fur_0005,생활용품
80,fur_0006,"생활용품, 기타주방용품"
81,fur_0007,"생활용품, 기타주방용품, 인테리어소품"
82,fur_0008,"생활용품, 수납정리"
83,fur_0009,"생활용품, 수납정리, 가전, 한샘 AS부품"
84,fur_0010,"생활용품, 수납정리, 주방수납"
85,fur_0011,"생활용품, 수납정리, 주방수납, 기타주방용품"
86,fur_0012,"생활용품, 주방수납"
87,fur_0013,"생활용품, 주방수납, 기타주방용품"
88,fur_0014,"생활용품, 주방수납, 기타주방용품, 인테리어소품, 한샘 AS부품"
89,fur_0015,"생활용품, 주방수납, 기타주방용품, 한샘 AS부품"
90,fur_0016,"생활용품, 주방수납, 기타주방용품, 홈패드릭"
91,fur_0017,"생활용품, 주방수납, 쿸웨어, 기타주방용품"
92,fur_0018,"생활용품, 쿸웨어, 기타주방용품"
93,fur_0019,"생활용품, 한샘 AS부품"
94,fur_0020,"생활용품, 홈패드릭"
95,fur_0021,"생활용품, 홈패드릭, 가전"
96,fur_0022,수납정리
97,fur_0023,"수납정리, 주방수납"
98,fur_0024,"수납정리, 한샘 AS부품"
99,fur_0025,"수납정리, 홈패드릭"
100,fur_0026,"수납정리, 홈패드릭, 인테리어소품"
101,fur_0027,인테리어소품
102,fur_0028,조명
103,fur_0029,주방수납
104,fur_0030,"주방수납, 가전"
105,fur_0031,"주방수납, 기타주방용품"
106,fur_0032,"주방수납, 기타주방용품, 한샘 AS부품"
107,fur_0033,"주방수납, 인테리어소품, 한샘 AS부품"
108,fur_0034,"주방수납, 쿸웨어"
109,fur_0035,"주방수납, 쿸웨어, 기타주방용품"
110,fur_0036,"주방수납, 쿸웨어, 기타주방용품, 가전"
111,fur_0037,"주방수납, 한샘 AS부품"
112,fur_0038,침구
113,fur_0039,"침구, 홈패드릭"
114,fur_0040,커튼
115,fur_0041,"커튼, 한샘 AS부품"
116,fur_0042,쿸웨어
117,fur_0043,"쿸웨어, 가전"
118,fur_0044,"쿸웨어, 기타주방용품"
119,fur_0045,한샘 AS부품
120,fur_0046,홈패드릭
0,int_0,바스
1,int_1,수납
2,int_2,전체공사
3,int_3,"중문,도어"
4,int_4,창호
5,int_5,키친
6,int_0000,타일바스
7,int_0001,판넬바스
8,int_0000,공간수납
9,int_0001,붙박이장
10,int_0002,현관수납
11,int_0000,스탠다드
12,int_0001,프리미엄
13,int_0000,도어
14,int_0001,중문
15,int_0000,기능창
16,int_0001,발코니창
17,int_0000,밀란
18,int_0001,상판
19,int_0002,상품기기
20,int_0003,유로
