,goods_id,big_cat,small_cat,goods_name,price,Image URL
0,1042803,room_0,fur_0000,밸런스S 필로우탑 매트리스 SS,890000,https://image.hanssem.com/hsimg/gds/1050/1042/1042803_A1.jpg?v=20250820162330
1,1064061,room_0,fur_0000,밸런스 볼륨탑 매트리스 SS,399000,https://image.hanssem.com/hsimg/gds/1050/1064/1064061_A1.jpg?v=20250820162401
2,1115352,room_0,fur_0000,"포시즌 5 하드,미디움 매트리스 Q/K/KK",1960000,https://image.hanssem.com/hsimg/gds/1050/1115/1115352_A1.jpg?v=20250919105238
3,1115353,room_0,fur_0000,"포시즌 5 하드,미디움 매트리스 SS",1130000,https://image.hanssem.com/hsimg/gds/1050/1115/1115353_A1.jpg?v=20250919105435
4,948684,room_0,fur_0000,노뜨 메모리폼탑 매트리스 Q DIY,335000,https://image.hanssem.com/hsimg/gds/1050/948/948684_A1.jpg?v=20250820163622
5,1115350,room_0,fur_0000,"포시즌 6 하드,미디움,소프트 매트리스 Q/K/KK",2680000,https://image.hanssem.com/hsimg/gds/1050/1115/1115350_A1.jpg?v=20250919104627
6,1064060,room_0,fur_0000,[특가~9/29]밸런스 파인탑 매트리스Q/K,396640,https://image.hanssem.com/hsimg/gds/1050/1064/1064060_A1.jpg?v=20250820162557
7,1107323,room_0,fur_0000,에브리 논슬립 메모리폼 토퍼 전용 커버 SS/Q,45900,https://image.hanssem.com/hsimg/gds/1050/1107/1107323_A1.jpg?v=20250724113728
8,819104,room_0,fur_0000,노뜨 컴포트 매트리스 패밀리형,335920,https://image.hanssem.com/hsimg/gds/1050/819/819104_A1.jpg?v=20250820163047
9,723673,room_0,fur_0000,컴포트 하단 매트리스 K (매트별도),395000,https://image.hanssem.com/hsimg/gds/1050/723/723673_A1.jpg?v=20250812133013
10,1115349,room_0,fur_0000,"포시즌 7 하드,미디움 매트리스 SS",3190000,https://image.hanssem.com/hsimg/gds/1050/1115/1115349_A1.jpg?v=20250919105113
11,1092300,room_0,fur_0000,스테이 리버서블 메모리폼 토퍼 SS/Q,129000,https://image.hanssem.com/hsimg/gds/1050/1092/1092300_A1.jpg?v=20250520133802
12,390420,room_0,fur_0000,디퍼 베이직 토퍼 매트리스 SS,118000,https://image.hanssem.com/hsimg/gds/1050/390/390420_A1.jpg?v=20250106143114
13,1051368,room_0,fur_0000,휴 365 접이식 토퍼 커버 (SS/Q),35900,https://image.hanssem.com/hsimg/gds/1050/1051/1051368_A1.jpg?v=20250724111540
14,613993,room_0,fur_0000,휴 365 접이식 메모리폼 토퍼 매트리스 SS/Q,99000,https://image.hanssem.com/hsimg/gds/1050/613/613993_A1.jpg?v=20250812082935
15,1121751,room_0,fur_0000,(아울렛) 밸런스 볼륨탑 매트리스 SS,233000,https://image.hanssem.com/hsimg/gds/550/1121/1121751_A1.jpg?v=20250922201813
