Seq,텍스트,이미지
10000,배곧 한라비발디 캠퍼스 1단지 50평형 인테리어를 소개합니다 거실확장형으로 따뜻하고 밝은분위기를 연출하였습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/09/1667989933214_0.jpg
10000,한샘 제타화이트 제품으로 깔끔한느낌과 주방입구쪽 파티션시공하여 ㄷ자주방 시공. 수납공간을 극대화 하였습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/09/1667990181197_0.jpg
10000,베이지톤 따듯한느낌의 600*600각 타일시공하였습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/09/1667990213354_0.jpg
10000,"안방욕실입니다. 600*600각 라이트그레이 타일시공 넓어보이는효과, 욕조에이프런 조적타일시공하여 고급스러운 분위기 연출하였습니다.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/09/1667990275725_0.jpg
10000,"입구1,2방입니다. 공간활용을위해 침대와 책상을 최적화된 위치에 배치하였습니다.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/09/1667990771414_0.jpg
10007,"┃현관 및 복도 「 골드 포인트 중문과 북유럽풍 패턴 타일의 조합 」 현관 중문은 3연동 슬라이딩 도어를 설치했습니다. 상부는 비산방지 효과 가 있는 망입 유리, 하부는 모루유리 시공으로 지저분한 공간을 가려주었습니다. 신발장은 띄움 시공으로 간접조명을 설치해 현관의 은은한 무드를 더해주었습니다 ㆍ 비산방지란? 유리창이 깨질 경우 조각난 파편이 날리는 것을 방지하기 위해 유리에 얇은 시트지를 붙이는 것을 의미해요!",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/17/1668646463781_0.jpg
10011,1. 유리 파티션을 제거하고 소파자리를 확보하여 거실과 주방의 공간 분리와 의사소통 기능을 가질 수 있으며 2. 아치 형태의 포인트로 시공하여 좁은 주방을 시각적으로 개방감을 주면서 자연스럽게 거실과 주방이 연결성을 가지면서도 모던하고 이색적인 분위기로 연출하였습니다.!,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668049487470_0.jpg
10011,"3. 또한, 유리를 설치하지 않아서 대화를 언제든지 이어갈 수 있도록 하며, 거실의 아치포인트쪽을 보면 2인치 다운라이트로 포인트가 되도록 하였습니다. 3인치는 빛이 강해 음영이 부분이 생길 수 있어서 그런부분을 줄이고 고르게 포인트를 주기 위해 2인치로 설치하였습니다.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668049443147_0.jpg
10011,안방 1. 특징이 있다면은 출입구가 벽하고 가까워서 붙박이장을 문 앞까지 가지고 들어가면은 2. 통행에 방해가 되어서 출입구쪽은 선반을 설치하도록 하였습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668049869479_0.jpg
10011,거실욕실이랍니다. 거실은 베이지톤의 타일과 나무결의 포인트를 주도록하였습니다. 모래느낌의 사하라와 나무결의 타일로 공간이 따뜻한 느낌을가질 수 있도록 하였습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668055909603_0.jpg
10012,리모델링의 메인인 주방은 ㄱ자 형태로 구성하고 비스포크와 키큰장으로 공간의 효율을 극대화 했습니다. 밤하늘같은 어두운 색으로 포인트를 주면서 집의 색감을 살려주는 부분이며 또한 넓은 조리공간으로 요리함에 있어서 불편하지 않고 식탁 공간이 좁지 않아 훨씬 더 넓어보이는 설계입니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/21/1669009950186_0.jpg
10012,거실에 수납장을 많이 넣지 않으면서 공간을 넓게 사용하고 방에 장을 한쪽 벽면을 채워 벽처럼 느껴지지만 좁아보이지 않도록 화이트도어를 사용해 수납공간을 챙긴 설계입니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/21/1669009970479_0.jpg
